participant,stimulus,response,rating
sim00_d0.5_meta0.5_r4_n400,0,0,3
sim00_d0.5_meta0.5_r4_n400,1,1,1
sim00_d0.5_meta0.5_r4_n400,0,0,2
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,1,1,1
sim00_d0.5_meta0.5_r4_n400,1,1,1
sim00_d0.5_meta0.5_r4_n400,0,1,2
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,3
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,0,0,2
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,1,0,2
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,0,1,1
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,1,1,3
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,0,0,2
sim00_d0.5_meta0.5_r4_n400,0,1,2
sim00_d0.5_meta0.5_r4_n400,0,1,1
sim00_d0.5_meta0.5_r4_n400,1,0,3
sim00_d0.5_meta0.5_r4_n400,1,1,1
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,0,1,1
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,0,1,2
sim00_d0.5_meta0.5_r4_n400,1,1,4
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,0,1,2
sim00_d0.5_meta0.5_r4_n400,1,1,1
sim00_d0.5_meta0.5_r4_n400,1,0,2
sim00_d0.5_meta0.5_r4_n400,0,0,2
sim00_d0.5_meta0.5_r4_n400,0,0,3
sim00_d0.5_meta0.5_r4_n400,1,1,1
sim00_d0.5_meta0.5_r4_n400,0,1,1
sim00_d0.5_meta0.5_r4_n400,0,1,4
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,4
sim00_d0.5_meta0.5_r4_n400,0,0,4
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,1,0,2
sim00_d0.5_meta0.5_r4_n400,1,0,2
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,3
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,1,1,3
sim00_d0.5_meta0.5_r4_n400,1,1,4
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,0,1,3
sim00_d0.5_meta0.5_r4_n400,0,1,3
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,1,0,2
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,4
sim00_d0.5_meta0.5_r4_n400,0,1,1
sim00_d0.5_meta0.5_r4_n400,1,1,4
sim00_d0.5_meta0.5_r4_n400,1,1,3
sim00_d0.5_meta0.5_r4_n400,0,0,4
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,1,1,4
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,1,1,3
sim00_d0.5_meta0.5_r4_n400,0,1,2
sim00_d0.5_meta0.5_r4_n400,1,1,3
sim00_d0.5_meta0.5_r4_n400,0,1,4
sim00_d0.5_meta0.5_r4_n400,1,1,1
sim00_d0.5_meta0.5_r4_n400,0,0,3
sim00_d0.5_meta0.5_r4_n400,0,0,3
sim00_d0.5_meta0.5_r4_n400,1,0,3
sim00_d0.5_meta0.5_r4_n400,0,1,4
sim00_d0.5_meta0.5_r4_n400,0,1,3
sim00_d0.5_meta0.5_r4_n400,0,1,1
sim00_d0.5_meta0.5_r4_n400,1,0,4
sim00_d0.5_meta0.5_r4_n400,0,0,2
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,1,1,4
sim00_d0.5_meta0.5_r4_n400,0,0,2
sim00_d0.5_meta0.5_r4_n400,0,1,2
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,0,1,3
sim00_d0.5_meta0.5_r4_n400,0,0,4
sim00_d0.5_meta0.5_r4_n400,1,0,2
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,3
sim00_d0.5_meta0.5_r4_n400,1,0,2
sim00_d0.5_meta0.5_r4_n400,1,1,1
sim00_d0.5_meta0.5_r4_n400,1,1,2
sim00_d0.5_meta0.5_r4_n400,0,0,3
sim00_d0.5_meta0.5_r4_n400,1,1,4
sim00_d0.5_meta0.5_r4_n400,1,0,1
sim00_d0.5_meta0.5_r4_n400,0,1,3
sim00_d0.5_meta0.5_r4_n400,0,1,1
sim00_d0.5_meta0.5_r4_n400,1,0,2
sim00_d0.5_meta0.5_r4_n400,0,1,1
sim00_d0.5_meta0.5_r4_n400,0,0,1
sim00_d0.5_meta0.5_r4_n400,0,0,4
sim00_d0.5_meta0.5_r4_n400,0,1,1
sim00_d0.5_meta0.5_r4_n400,0,0,3
