comparison,measure,n,r,mae,rmse,bias,max_abs,nan_mismatch
Haddara raw,meta-d',70,0.9999999996216197,7.257164690788236e-06,1.238100484883232e-05,4.804262903310846e-07,4.735557567592252e-05,0
Haddara raw,AUC2,70,1.0,0.0,0.0,0.0,0.0,0
Haddara raw,Gamma,70,0.9999999999999999,0.0,0.0,0.0,0.0,0
Haddara raw,Phi,70,1.0,2.4781763942525817e-17,3.858067798992308e-17,-2.1807952269422717e-18,1.1102230246251565e-16,0
Haddara raw,ΔConf,70,1.0,0.0,0.0,0.0,0.0,0
Haddara raw,M-Ratio,70,0.9999999993088,5.191147360112134e-06,8.427273539046305e-06,1.0566303076415698e-06,2.762659281541069e-05,0
Haddara raw,AUC2-Ratio,70,1.0,1.5860328923216522e-16,2.1065000811460205e-16,-2.8548592061789737e-17,6.661338147750939e-16,0
Haddara raw,Gamma-Ratio,70,1.0,3.925431408496089e-16,5.694774727826156e-16,-1.0547118733938987e-16,1.9984014443252818e-15,0
Haddara raw,Phi-Ratio,70,1.0,5.602661192126237e-16,8.083702910632015e-16,-1.0507467911630945e-16,3.885780586188048e-15,0
Haddara raw,ΔConf-Ratio,70,1.0,6.165702868900423e-16,8.951457449436944e-16,3.568574007723717e-18,3.1086244689504383e-15,0
Haddara raw,M-Diff,70,0.999999999498139,7.2571646908286305e-06,1.2381004848851418e-05,4.804262903874383e-07,4.735557567570048e-05,0
Haddara raw,AUC2-Diff,70,1.0,1.1419436824715895e-16,1.4536231567507431e-16,-2.2204460492503132e-17,3.3306690738754696e-16,0
Haddara raw,Gamma-Diff,70,1.0,2.3869795029440865e-16,3.1478857502650133e-16,-5.4718134785097004e-17,9.43689570931383e-16,0
Haddara raw,Phi-Diff,70,0.9999999999999998,1.8576410251317352e-16,2.5132100626574253e-16,-3.984907641958151e-17,8.049116928532385e-16,0
Haddara raw,ΔConf-Diff,70,0.9999999999999999,3.9016409151112644e-16,5.445430924654419e-16,9.516197353929913e-18,1.5543122344752192e-15,0
Haddara raw,meta-noise,69,0.9988156640499225,0.002268712346035066,0.01884534011167173,-0.002268712346035066,0.15654115187641957,0
Haddara raw,meta-uncertainty,70,0.9999998382141264,5.805167872384846e-05,0.00031947005567892043,-5.24287031358631e-05,0.002649297255751318,0
Haddara raw,d',70,1.0,1.2688263138573217e-16,2.0557335828564925e-16,-6.026924990822278e-17,4.440892098500626e-16,0
Haddara raw,Criterion,70,1.0,5.987274168514237e-17,8.657146650114187e-17,7.533656238527847e-18,2.7755575615628914e-16,0
Haddara raw,Confidence,70,0.9999999999999998,0.0,0.0,0.0,0.0,0
Haddara metacognitive bias,meta-d',140,0.9997812330820959,0.0008595603483016623,0.010049908630339244,0.0008496532907963957,0.11891195633646934,0
Haddara metacognitive bias,AUC2,140,1.0,0.0,0.0,0.0,0.0,0
Haddara metacognitive bias,Gamma,140,1.0,0.0,0.0,0.0,0.0,0
Haddara metacognitive bias,Phi,140,1.0,0.0,0.0,0.0,0.0,0
Haddara metacognitive bias,ΔConf,140,1.0,0.0,0.0,0.0,0.0,0
Haddara metacognitive bias,M-Ratio,140,0.9997837985270509,0.00042939247963280554,0.004989781635142958,0.0004216084888651427,0.05903968795090986,0
Haddara metacognitive bias,AUC2-Ratio,140,0.9999999999999996,1.5384519055520026e-16,2.1314299439484964e-16,-3.6478756523398e-17,6.661338147750939e-16,0
Haddara metacognitive bias,Gamma-Ratio,140,1.0,7.545551485220261e-16,2.874089519947949e-15,-4.619320798886812e-16,2.7755575615628914e-14,0
Haddara metacognitive bias,Phi-Ratio,140,1.0,1.1888307798508484e-15,4.888147982771969e-15,-6.955745503388146e-16,4.285460875053104e-14,0
Haddara metacognitive bias,ΔConf-Ratio,140,1.0,1.7396798287653123e-15,1.0099640389823839e-14,-1.033895191682177e-15,1.141309269314661e-13,0
Haddara metacognitive bias,M-Diff,140,0.9996882689450676,0.0008595603483016238,0.01004990863033932,0.0008496532907964626,0.11891195633647023,0
Haddara metacognitive bias,AUC2-Diff,140,0.9999999999999996,1.0705722023171153e-16,1.4505916140208636e-16,-2.1411444046342306e-17,4.440892098500626e-16,0
Haddara metacognitive bias,Gamma-Diff,140,1.0,3.861990092803223e-16,1.1905445798277619e-15,-1.9587506220172404e-16,1.1213252548714081e-14,0
Haddara metacognitive bias,Phi-Diff,140,0.9999999999999998,2.052425689719988e-16,4.0318709867295125e-16,-6.031881343610784e-17,3.635980405647388e-15,0
Haddara metacognitive bias,ΔConf-Diff,140,1.0,3.2037864424897374e-16,5.049466447149977e-16,-1.586032892321652e-17,2.220446049250313e-15,0
Haddara metacognitive bias,meta-noise,137,0.9995499658302865,0.0011426361450833544,0.013374213185342156,-0.0011426361450833544,0.15654115187641957,0
Haddara metacognitive bias,meta-uncertainty,140,0.9794573360977212,0.015536395330023826,0.1813211838884073,0.015125599527597584,2.1453795078801585,0
Haddara metacognitive bias,d',140,0.9999999999999999,1.2688263138573217e-16,2.0557335828564925e-16,-6.026924990822278e-17,4.440892098500626e-16,0
Haddara metacognitive bias,Criterion,140,1.0,5.987274168514237e-17,8.657146650114187e-17,7.533656238527847e-18,2.7755575615628914e-16,0
Haddara metacognitive bias,Confidence,140,0.9999999999999998,0.0,0.0,0.0,0.0,0
Haddara odd-even,meta-d',140,0.9999999990215884,1.1575801759844208e-05,2.011141198250075e-05,-5.164861122790101e-07,0.00011085644187759647,0
Haddara odd-even,AUC2,140,1.0,0.0,0.0,0.0,0.0,0
Haddara odd-even,Gamma,140,1.0,0.0,0.0,0.0,0.0,0
Haddara odd-even,Phi,140,1.0,2.3548871186385155e-17,3.534881050509415e-17,2.5339353631232645e-18,1.1102230246251565e-16,0
Haddara odd-even,ΔConf,140,1.0,0.0,0.0,0.0,0.0,0
Haddara odd-even,M-Ratio,140,0.9999999976739326,9.072168967682354e-06,1.592312678010232e-05,2.8810530247098357e-07,6.532252103308434e-05,0
Haddara odd-even,AUC2-Ratio,140,0.9999999999999999,1.5463820700136108e-16,2.1252248945552248e-16,-1.6653345369377347e-17,5.551115123125783e-16,0
Haddara odd-even,Gamma-Ratio,140,1.0,4.1573887189981306e-16,5.833625126567738e-16,-2.279922282712375e-17,1.9984014443252818e-15,0
Haddara odd-even,Phi-Ratio,140,1.0,5.498082148288777e-16,7.540015620197491e-16,-3.816391647148976e-18,2.55351295663786e-15,0
Haddara odd-even,ΔConf-Ratio,140,1.0,6.155790163323412e-16,9.542170370484009e-16,1.1082404835097545e-16,4.218847493575595e-15,0
Haddara odd-even,M-Diff,140,0.9999999987112076,1.1575801759837666e-05,2.0111411982487e-05,-5.164861122155687e-07,0.00011085644187747157,0
Haddara odd-even,AUC2-Diff,140,1.0,1.0943626957019401e-16,1.4716812796553625e-16,-1.1102230246251566e-17,3.3306690738754696e-16,0
Haddara odd-even,Gamma-Diff,140,1.0,2.6010939434075097e-16,3.481875050467557e-16,-1.4274296030894868e-17,1.3322676295501878e-15,0
