measure,metric,paper,matlab,python
meta-d',precision,0.65,1.087230475582431,1.092750982180859
meta-d',task,2.47,2.470662173950393,2.4860035556832925
meta-d',bias,0.44,0.4437261548986267,0.43749269151087106
meta-d',response,-0.04,-0.03735345725953508,-0.037273401377095394
meta-d',split_half,0.89,0.5485748928788227,0.754609315189743
meta-d',test_retest,0.71,0.7098541526013225,0.709851411917202
AUC2,precision,0.54,0.9105093363901133,0.9161343586457107
AUC2,task,2.29,2.2917825778474126,2.30041593799733
AUC2,bias,0.51,0.5060512200594155,0.5060512200594153
AUC2,response,0.18,0.18383052917182285,0.18383052917182285
AUC2,split_half,0.89,0.5724915884768139,0.7826156991608676
AUC2,test_retest,0.73,0.7263238050999336,0.7263238050999336
Gamma,precision,0.65,1.0957310157200135,1.1077727717316912
Gamma,task,2.95,2.9496596730576883,2.9612181675487825
Gamma,bias,-0.61,-0.6088164449560524,-0.608609175664359
Gamma,response,0.12,0.12126423310682927,0.12126423310682918
Gamma,split_half,0.88,0.503678061968319,0.7237940906000833
Gamma,test_retest,0.71,0.7044450257832882,0.7044450257832882
Phi,precision,0.61,1.0220631005958731,1.0169004264056212
Phi,task,1.34,1.3371809422701801,1.339259309149466
Phi,bias,0.81,0.8066562611659229,0.8070116252798386
Phi,response,0.11,0.11048816632907553,0.11048816632907554
Phi,split_half,0.87,0.4569505673023918,0.687063206007227
Phi,test_retest,0.63,0.6216842819307913,0.6216842819307913
ΔConf,precision,0.5,0.8350768715677339,0.8344033784092397
ΔConf,task,1.81,1.8075088037382845,1.813162502334772
ΔConf,bias,0.54,0.5439497658701399,0.5439497658701399
ΔConf,response,0.18,0.1838305291718232,0.18383052917182316
ΔConf,split_half,0.9,0.6583797576895885,0.8497883607804575
ΔConf,test_retest,0.75,0.7432401585886871,0.7432401585886871
M-Ratio,precision,0.61,1.0236469191902868,1.0279469993658845
M-Ratio,task,-0.18,-0.17638944827571654,-0.17618331097212722
M-Ratio,bias,0.27,0.2709282333821179,0.26684498477667545
M-Ratio,response,0.07,0.0681965719218494,0.06825516067028634
