Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Day,Feedback
1,1,1,4,0.496,0.35,1,1
1,2,1,2,0.897,0.284,1,1
1,2,2,3,1.558,0.867,1,1
1,1,1,4,0.297,0.265,1,1
1,1,1,4,0.407,0.219,1,1
1,1,1,4,0.37,0.542,1,1
1,2,1,2,0.513,0.354,1,1
1,2,2,2,1.631,0.535,1,1
1,2,1,2,0.671,0.378,1,1
1,2,2,3,0.666,0.843,1,1
1,1,2,4,0.665,0.478,1,1
1,2,1,2,1.533,0.441,1,1
1,1,2,3,0.759,0.577,1,1
1,1,1,4,0.354,0.32,1,1
1,2,1,3,0.517,0.522,1,1
1,2,2,2,1.488,0.535,1,1
1,2,2,2,0.559,1.034,1,1
1,1,1,2,0.38,1.257,1,1
1,2,2,3,0.77,0.557,1,1
1,2,1,2,0.546,0.646,1,1
1,2,2,2,1.072,0.719,1,1
1,2,1,3,0.471,0.883,1,1
1,1,1,4,0.661,0.771,1,1
1,2,1,2,0.57,0.917,1,1
1,1,1,3,0.358,0.694,1,1
1,2,1,2,1.311,0.245,1,1
1,1,1,4,0.313,0.3,1,1
1,1,1,2,0.913,0.656,1,1
1,1,2,2,0.692,0.515,1,1
1,2,2,2,1.089,0.469,1,1
1,2,1,2,0.754,0.315,1,1
1,1,2,2,1.138,0.586,1,1
1,2,1,3,0.483,0.979,1,1
1,2,2,2,2.243,0.243,1,1
1,1,1,4,0.275,0.265,1,1
1,1,1,3,0.287,0.427,1,1
1,1,1,3,0.623,0.389,1,1
1,2,2,2,0.892,0.289,1,1
1,1,1,4,0.34,0.234,1,1
1,1,1,4,0.455,0.324,1,1
1,1,1,4,0.273,0.195,1,1
1,1,1,4,0.281,0.206,1,1
1,2,1,3,0.733,0.616,1,1
1,1,1,4,0.236,0.179,1,1
1,1,1,4,0.375,0.478,1,1
1,2,1,2,0.467,0.799,1,1
1,1,1,4,0.634,0.355,1,1
1,2,2,2,1.477,0.679,1,1
1,1,1,4,0.285,0.221,1,1
1,1,1,2,0.967,0.381,1,1
1,1,1,4,0.243,0.23,1,1
1,2,1,2,0.565,1.167,1,1
1,2,1,2,0.656,0.393,1,1
1,2,2,3,1.026,0.932,1,1
1,2,2,3,0.855,0.726,1,1
1,1,1,4,0.266,0.274,1,1
1,2,2,3,1.114,0.624,1,1
1,2,1,2,1.308,1.148,1,1
1,2,2,4,0.674,0.953,1,1
1,1,2,3,0.828,0.646,1,1
1,1,1,4,0.316,0.241,1,1
1,2,1,2,0.566,1.836,1,1
1,2,2,3,0.839,0.773,1,1
1,1,1,4,0.313,0.238,1,1
1,1,1,3,0.452,0.517,1,1
1,1,1,3,0.749,0.718,1,1
1,1,1,3,0.654,0.487,1,1
1,2,1,2,0.747,1.296,1,1
1,1,1,3,0.446,0.936,1,1
1,2,2,4,0.682,0.675,1,1
1,2,2,3,0.435,1.363,1,1
1,2,2,2,0.865,0.595,1,1
1,2,2,4,1.031,1.456,1,1
1,2,2,2,1.04,0.516,1,1
1,1,1,4,0.302,0.285,1,1
1,2,1,3,0.482,0.555,1,1
1,1,1,4,0.288,0.245,1,1
1,2,1,3,0.338,0.558,1,1
1,2,2,3,0.867,0.69,1,1
1,2,2,4,0.615,1.81,1,1
1,1,1,4,0.317,0.442,1,1
1,2,2,3,0.529,0.803,1,1
1,1,1,4,0.642,0.604,1,1
1,2,1,2,0.751,0.46,1,1
1,1,1,4,0.402,0.398,1,1
1,1,1,4,0.445,0.296,1,1
1,2,2,4,0.487,0.297,1,1
1,2,2,3,0.781,0.663,1,1
1,2,1,3,0.533,0.491,1,1
1,1,1,4,0.47,0.27,1,1
1,1,1,3,0.604,0.558,1,1
1,2,2,2,0.826,1.143,1,1
1,1,2,3,0.691,0.531,1,1
1,2,1,2,0.463,0.503,1,1
1,1,2,2,1.247,0.858,1,1
1,1,2,2,0.909,0.873,1,1
1,2,2,2,1.824,0.773,1,1
1,2,1,2,0.525,0.89,1,1
1,1,1,3,0.403,0.331,1,1
1,1,1,4,0.289,0.285,1,1
1,1,1,4,0.399,2.013,1,1
1,1,1,4,0.324,0.238,1,1
1,1,1,4,0.281,0.211,1,1
1,2,1,2,0.577,0.949,1,1
1,1,1,4,0.231,0.234,1,1
1,1,1,4,0.296,0.229,1,1
1,2,1,3,0.985,0.699,1,1
1,2,1,2,1.521,0.844,1,1
1,1,2,3,0.666,0.433,1,1
1,1,1,4,0.287,0.253,1,1
1,2,2,2,1.636,0.414,1,1
1,1,1,3,0.662,0.87,1,1
1,2,1,2,1.056,0.445,1,1
1,2,2,4,0.872,1.12,1,1
1,1,1,3,0.707,0.487,1,1
1,1,1,4,0.57,0.492,1,1
1,1,1,3,0.606,0.452,1,1
1,1,1,4,0.446,0.242,1,1
1,2,1,4,0.3,0.237,1,1
1,1,1,3,0.541,0.498,1,1
1,2,2,2,1.547,0.288,1,1
1,1,1,4,0.418,0.254,1,1
1,2,1,2,0.756,0.5,1,1
